oitama,result,answer,fScore,bleuscore,option_result,opt_Arr_max,maxtimesIndex
服脱いだら背中さバスタオルかげっか？ほんじゃ、こさ置いどっから、寒いどぎはかまーずゆってけろな,服脱い肥え背中にバスタオルかげっか？それでは、ここに置いどっから、寒いどぎはいつもゆってくださいね,服を脱ぐときに背中にバスタオルをかけますか？それでは、こちらに置いておきますので、寒かったらいつでも言ってください,0.4838709677419355,0.2920958763374351,服が脱い肥え背中にバスタオルがかげっか？それでは、ここに置いどっから、寒いどぎはいつもがゆってくださいね,0.5230769230769231,23
腹いでぇ,腹いたい,お腹が痛い,0,,腹がいたい,0.28571428571428575,11
腹から腰にずきずきいだい,腹から腰ない脈打つような痛い,お腹から腰にかけて、脈打つような痛みがある,0.2608695652173913,0.12388986761561663,腹から腰ない脈打つような痛い,0.2608695652173913,14
腹きりきりいでぇ,腹きりきりいたい,お腹がさすように痛い,0,,腹きりきりいたい,0.0,14
腹くだした,腹くだした,お腹を下した,0.28571428571428575,0.1394721495522781,腹をくだした,0.5,14
便秘してんなよ,便秘してんねよ,便秘しているんです,0.3636363636363636,0.18202493388565633,便秘がしてんねよ,0.3333333333333333,14
便秘すっけど、飲まんなねが,便秘すっけど、飲まんねないか,便秘するんだけど、飲まなければなりませんか,0.5714285714285715,0.21896106393081058,便秘をすっけど、飲まんねないか,0.5454545454545454,14
歩くたんび、腰いってぐなる,歩くたび、腰いってぐなる,歩くたびに、腰が痛くなります,0.47058823529411764,0.19529721898615826,歩くたび、腰がいってぐなる,0.5555555555555556,15
冷てえお茶けろ,冷てえお茶ください,冷たいお茶をください,0.6666666666666665,0.23603634562950465,冷てえお茶をください,0.8000000000000002,17
痒いどこねぇが？このぐらいで痛ぐねぇが？,痒いどこないか？このぐらいで痛ぐないか？,痒いところはないですか？この程度で痛くないですか？,0.5714285714285715,0.21898025568833787,痒いどこをないか？このぐらいで痛ぐをないか？,0.5333333333333333,16
平均,,,0.537692211973413,,,0.5771603762857629,14.241176470588234
